id,name,name_en,name_ms,amenity,man_made,shop,tourism,opening_hours,beds,rooms,addr_full,addr_housenumber,addr_street,addr_city,source,adm0_pcode,adm0_name,adm1_pcode,adm1_name,adm2_pcode,adm2_name,adm3_pcode,adm3_name,adm4_pcode,adm4_name,name_latin,,,,,,,,,,,,,,,,,,,,,,,,,,
node/9801012198,TJ Aquarium & Pets Shop,TJ Aquarium & Pets Shop,,,,,aquarium,Mo-Sa 09:00-19:00,,,,643,Jalan Ipoh,Kuala Lumpur,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,TJ Aquarium & Pets Shop,,,,,,,,,,,,,,,,,,,,,,,,,,
node/1456303681,Aquaria KLCC,Aquaria KLCC,Aquaria KLCC,,,,aquarium; attraction,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Aquaria KLCC,,,,,,,,,,,,,,,,,,,,,,,,,,
node/4277826893,Medan Pasar Clock Tower,Medan Pasar Clock Tower,,clock,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Medan Pasar Clock Tower,,,,,,,,,,,,,,,,,,,,,,,,,,
node/11629019180,24 Chinese Statues,,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,24 Chinese Statues,,,,,,,,,,,,,,,,,,,,,,,,,,
node/12261142480,3 Trunks,3 Trunks,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,3 Trunks,,,,,,,,,,,,,,,,,,,,,,,,,,
node/7317759115,Alludin Kettle,,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Alludin Kettle,,,,,,,,,,,,,,,,,,,,,,,,,,
node/12545801524,Apa Khabar - Guten Tag,,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Apa Khabar - Guten Tag,,,,,,,,,,,,,,,,,,,,,,,,,,
node/12486229349,Awan Botol,,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Awan Botol,,,,,,,,,,,,,,,,,,,,,,,,,,
node/5224380567,Barong-Barong,,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Barong-Barong,,,,,,,,,,,,,,,,,,,,,,,,,,
node/12545801547,Bear,,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Bear,,,,,,,,,,,,,,,,,,,,,,,,,,
node/12545801523,Bretzel Bus,,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Bretzel Bus,,,,,,,,,,,,,,,,,,,,,,,,,,
node/13356867537,Bull And Bear,,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Bull And Bear,,,,,,,,,,,,,,,,,,,,,,,,,,
node/8539465997,Buona Fortuna,Buona Fortuna,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Buona Fortuna,,,,,,,,,,,,,,,,,,,,,,,,,,
node/7490098553,Calligraphist At Work,Calligraphist At Work,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Calligraphist At Work,,,,,,,,,,,,,,,,,,,,,,,,,,
node/11014075709,Cartoon Murals,,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Cartoon Murals,,,,,,,,,,,,,,,,,,,,,,,,,,
node/7333847978,Child with tiger on head,,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Child with tiger on head,,,,,,,,,,,,,,,,,,,,,,,,,,
node/7496171410,Children Rope Skipping,Children Rope Skipping,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Children Rope Skipping,,,,,,,,,,,,,,,,,,,,,,,,,,
node/5729590222,Cockerel,,,,,,artwork,,,,,,Jalan Tun Tan Cheng Lock,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Cockerel,,,,,,,,,,,,,,,,,,,,,,,,,,
node/7490098550,Couple On The Bridge,Couple On The Bridge,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Couple On The Bridge,,,,,,,,,,,,,,,,,,,,,,,,,,
way/745554996,DESA PARKCITY,,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,DESA PARKCITY,,,,,,,,,,,,,,,,,,,,,,,,,,
node/12545801522,Eagle with Malaysian and German flag on its wings,,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Eagle with Malaysian and German flag on its wings,,,,,,,,,,,,,,,,,,,,,,,,,,
node/11014076206,Flower murals,,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Flower murals,,,,,,,,,,,,,,,,,,,,,,,,,,
node/13347414578,Golden Pegasus Statue,,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Golden Pegasus Statue,,,,,,,,,,,,,,,,,,,,,,,,,,
node/9312678989,Golden Rooster Fountain,,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Golden Rooster Fountain,,,,,,,,,,,,,,,,,,,,,,,,,,
node/5787646853,Goldsmith,Giant Man with Hammer,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Giant Man with Hammer,,,,,,,,,,,,,,,,,,,,,,,,,,
node/11014075708,Gorilla Armchair,,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Gorilla Armchair,,,,,,,,,,,,,,,,,,,,,,,,,,
node/9646411465,Guan Yin,,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Guan Yin,,,,,,,,,,,,,,,,,,,,,,,,,,
node/7490098555,Hairdresser,Hairdresser,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Hairdresser,,,,,,,,,,,,,,,,,,,,,,,,,,
node/13306048648,Hope,,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Hope,,,,,,,,,,,,,,,,,,,,,,,,,,
node/7425652902,Jalan Alor Street Art,,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Jalan Alor Street Art,,,,,,,,,,,,,,,,,,,,,,,,,,
node/12470732201,Jalan Rembia Street Art,,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Jalan Rembia Street Art,,,,,,,,,,,,,,,,,,,,,,,,,,
node/7333889397,Keris,,,,,,artwork,,,,,,,,,MYS,Malaysia,MY04,W.P. Kuala Lumpur,MY0401,WP. Kuala Lumpur,,,,,Keris,,,,,,,,,,,,,,,,,,,,,,,,,,
