,Column,Missing,Missing %,Unique values,Data type
20,admission_cost_rm,0,0.0,11,float64
2,category,0,0.0,7,object
11,closes_next_day,0,0.0,2,object
10,closing_time_24h,0,0.0,17,object
21,cost_source_url,0,0.0,50,object
22,cost_verified_date,0,0.0,1,object
25,exposure_ratio_basis,0,0.0,2,object
12,google_rating,0,0.0,11,float64
23,indoor_ratio,0,0.0,10,float64
8,is_24_hours,0,0.0,2,object
3,latitude,0,0.0,50,float64
4,longitude,0,0.0,50,float64
6,mandatory,0,0.0,2,object
15,metadata_collected_date,0,0.0,1,object
14,metadata_source,0,0.0,2,object
1,name,0,0.0,50,object
7,off_day,0,0.0,3,object
9,opening_time_24h,0,0.0,15,object
0,poi_id,0,0.0,50,int64
26,rating_norm,0,0.0,11,float64
13,review_count,0,0.0,50,int64
27,review_norm,0,0.0,50,float64
24,shelter_ratio,0,0.0,8,float64
16,source_url,0,0.0,50,object
30,utility_formula_version,0,0.0,1,object
29,utility_score,0,0.0,50,float64
19,visit_duration_basis,0,0.0,2,object
18,visit_duration_class,0,0.0,5,object
17,visit_duration_min,0,0.0,7,int64
5,zone,0,0.0,3,object
28,zone_score,0,0.0,3,float64
