poi_id,name,category,Latitude,Longitude,off_day,opening_hours,closing_hours,google_rating,review_count,visit_duration_min,indoor_ratio,shelter_ratio,mandatory,zone
1,Dataran Merdeka,Cultural / Historical,3.1496764,101.6942674,,12:00:00 AM,12:00:00 AM,4.5,52968,90 min,0.2,0.1,YES,B
2,Bangunan Sultan Abdul Samad,Cultural / Historical,3.1486259,101.6944497,,8:00:00 AM,10:00:00 PM,4.7,2086,45 min,0.1,0.1,NO,B
3,Muzium Tekstil Negara,Cultural / Historical,3.1465453,101.6939406,,9:00:00 AM,5:00:00 PM,4.6,1816,60 min,0.8,0.3,NO,B
4,Muzium Negara,Cultural / Historical,3.1376023,101.6878697,,9:00:00 AM,5:00:00 PM,4.3,14500,90 min,0.8,0.3,YES,B
5,Kuala Lumpur City Gallery,Cultural / Historical,3.1472239,101.693407,Tue,11:00:00 AM,6:30:00 PM,4.2,66,60 min,0.6,0.3,NO,B
6,Muzium Telekom,Cultural / Historical,3.1491436,101.6989845,,9:00:00 AM,5:00:00 PM,4.3,1606,90 min,0.8,0.3,NO,B
7,Muzium Kesenian Islam Malaysia,Cultural / Historical,3.1408278,101.6893921,,9:30:00 AM,6:00:00 PM,4.7,5914,120 min,0.8,0.3,NO,B
8,KL Bird Park,Parks/Outdoor,3.143164,101.6884845,,9:00:00 AM,5:30:00 PM,4.4,16421,120 min,0.1,0.3,NO,B
9,Bangunan Zhongshan,Cultural / Historical,3.1377298,101.6971033,,10:00:00 AM,6:00:00 PM,4.3,641,120 min,0.7,0.3,NO,B
10,Memorial Tun P. Ramlee,Cultural / Historical,3.1949696,101.7081168,,10:00:00 AM,5:00:00 PM,4.6,524,30 min,0.2,0.1,NO,C
11,Memorial Lim Lian Geok,Cultural / Historical,3.1370454,101.7012022,,10:00:00 AM,5:00:00 PM,4.6,102,60 min,0.2,0.1,NO,B
12,Butterfly Park,Parks/Outdoor,3.145333,101.688667,,9:00:00 AM,4:30:00 PM,4.2,6052,30 min,0.1,0.3,NO,B
13,Menara Berkembar Petronas,Modern Landmarks,3.1585926,101.7118658,,9:00:00 AM,9:00:00 PM,4.7,102926,60 min,0.7,0.3,YES,A
14,Menara Kuala Lumpur,Modern Landmarks,3.152859,101.7037604,,9:00:00 AM,10:00:00 PM,4.5,41883,60 min,0.5,0.2,NO,A
15,Pintasan Saloma,Modern Landmarks,3.1612697,101.7080099,,5:00:00 AM,12:00:00 AM,4.6,3907,30 min,0.1,0.2,NO,A
16,Sky Deck KL Tower,Modern Landmarks,3.1525657,101.7161564,,9:00:00 AM,10:00:00 PM,4.6,5909,60 min,0.1,0,NO,A
17,Merdeka 118,Modern Landmarks,3.1427857,101.7008622,,12:00:00 AM,12:00:00 AM,4.6,2552,60 min,0.1,0.1,NO,A
18,National Monument,Modern Landmarks,3.14889,101.68389,,7:00:00 AM,6:00:00 PM,4.5,4329,45 min,0,0.1,NO,B
19,Royal Selangor Visitor Centre,Cultural / Historical,3.196900267,101.724434,,9:00:00 AM,5:00:00 PM,4.5,5641,30 min,0.7,0.5,NO,C
20,Central Market,Shopping/Retail,3.146249015,101.6952011,,10:00:00 AM,10:00:00 PM,4.3,60603,120 min,0.8,0.5,NO,B
21,Laluan Kasturi,Shopping/Retail,3.1458614,101.6958556,,10:00:00 AM,10:00:00 PM,4.4,841,120 min,0.6,0.4,NO,B
