planner,seed,route,route_names,poi_count,achieved_utility,total_travel_min,total_waiting_min,total_visit_min,total_time_used_min,finish_time,total_cost_rm,mandatory_complete,feasible,generations_executed,convergence_generation,stopped_by_stagnation,evaluated_chromosomes,unique_decoded_routes
Static Utility,1001,"[1, 2, 12, 4, 33, 34, 36, 13]","[""Dataran Merdeka"", ""Bangunan Sultan Abdul Samad"", ""Butterfly Park"", ""Muzium Negara"", ""Kuala Lumpur Railway Station"", ""National Mosque of Malaysia"", ""Sin Sze Si Ya Temple"", ""Menara Berkembar Petronas""]",8,66.96204,66.502018,0.0,410.0,476.502018,16:57,157.0,True,True,18,3,True,1355,212
Static Utility,1002,"[1, 2, 12, 4, 33, 34, 36, 13]","[""Dataran Merdeka"", ""Bangunan Sultan Abdul Samad"", ""Butterfly Park"", ""Muzium Negara"", ""Kuala Lumpur Railway Station"", ""National Mosque of Malaysia"", ""Sin Sze Si Ya Temple"", ""Menara Berkembar Petronas""]",8,66.96204,66.502018,0.0,410.0,476.502018,16:57,157.0,True,True,33,18,True,2377,295
Static Utility,1003,"[1, 2, 12, 4, 33, 34, 36, 13]","[""Dataran Merdeka"", ""Bangunan Sultan Abdul Samad"", ""Butterfly Park"", ""Muzium Negara"", ""Kuala Lumpur Railway Station"", ""National Mosque of Malaysia"", ""Sin Sze Si Ya Temple"", ""Menara Berkembar Petronas""]",8,66.96204,66.502018,0.0,410.0,476.502018,16:57,157.0,True,True,23,8,True,1677,250
Static Utility,1004,"[1, 2, 12, 4, 33, 34, 36, 13]","[""Dataran Merdeka"", ""Bangunan Sultan Abdul Samad"", ""Butterfly Park"", ""Muzium Negara"", ""Kuala Lumpur Railway Station"", ""National Mosque of Malaysia"", ""Sin Sze Si Ya Temple"", ""Menara Berkembar Petronas""]",8,66.96204,66.502018,0.0,410.0,476.502018,16:57,157.0,True,True,32,2,True,2330,317
Static Utility,1005,"[1, 2, 12, 4, 33, 34, 36, 13]","[""Dataran Merdeka"", ""Bangunan Sultan Abdul Samad"", ""Butterfly Park"", ""Muzium Negara"", ""Kuala Lumpur Railway Station"", ""National Mosque of Malaysia"", ""Sin Sze Si Ya Temple"", ""Menara Berkembar Petronas""]",8,66.96204,66.502018,0.0,410.0,476.502018,16:57,157.0,True,True,23,8,True,1672,305
Static Utility,1006,"[1, 2, 12, 4, 33, 34, 36, 13]","[""Dataran Merdeka"", ""Bangunan Sultan Abdul Samad"", ""Butterfly Park"", ""Muzium Negara"", ""Kuala Lumpur Railway Station"", ""National Mosque of Malaysia"", ""Sin Sze Si Ya Temple"", ""Menara Berkembar Petronas""]",8,66.96204,66.502018,0.0,410.0,476.502018,16:57,157.0,True,True,34,7,True,2455,282
Static Utility,1007,"[1, 2, 12, 4, 33, 34, 36, 13]","[""Dataran Merdeka"", ""Bangunan Sultan Abdul Samad"", ""Butterfly Park"", ""Muzium Negara"", ""Kuala Lumpur Railway Station"", ""National Mosque of Malaysia"", ""Sin Sze Si Ya Temple"", ""Menara Berkembar Petronas""]",8,66.96204,66.502018,0.0,410.0,476.502018,16:57,157.0,True,True,16,1,True,1187,296
Static Utility,1008,"[1, 2, 12, 4, 33, 34, 36, 13]","[""Dataran Merdeka"", ""Bangunan Sultan Abdul Samad"", ""Butterfly Park"", ""Muzium Negara"", ""Kuala Lumpur Railway Station"", ""National Mosque of Malaysia"", ""Sin Sze Si Ya Temple"", ""Menara Berkembar Petronas""]",8,66.96204,66.502018,0.0,410.0,476.502018,16:57,157.0,True,True,19,2,True,1380,269
Static Utility,1009,"[1, 2, 12, 4, 33, 34, 36, 13]","[""Dataran Merdeka"", ""Bangunan Sultan Abdul Samad"", ""Butterfly Park"", ""Muzium Negara"", ""Kuala Lumpur Railway Station"", ""National Mosque of Malaysia"", ""Sin Sze Si Ya Temple"", ""Menara Berkembar Petronas""]",8,66.96204,66.502018,0.0,410.0,476.502018,16:57,157.0,True,True,16,1,True,1207,248
Static Utility,1010,"[1, 2, 12, 4, 34, 36, 15, 13]","[""Dataran Merdeka"", ""Bangunan Sultan Abdul Samad"", ""Butterfly Park"", ""Muzium Negara"", ""National Mosque of Malaysia"", ""Sin Sze Si Ya Temple"", ""Pintasan Saloma"", ""Menara Berkembar Petronas""]",8,68.34775,68.013725,0.0,410.0,478.013725,16:58,157.0,True,True,35,3,True,2490,318
