,1: Dataran Merdeka,2: Bangunan Sultan Abdul Samad,3: Muzium Tekstil Negara,4: Muzium Negara,5: Kuala Lumpur City Gallery,6: Muzium Telekom,7: Muzium Kesenian Islam Malaysia,8: KL Bird Park,9: Bangunan Zhongshan,10: Memorial Tun P. Ramlee,11: Memorial Lim Lian Geok,12: Butterfly Park,13: Menara Berkembar Petronas,14: Menara Kuala Lumpur,15: Pintasan Saloma,16: Sky Deck KL Tower,17: Merdeka 118,18: National Monument,19: Royal Selangor Visitor Centre,20: Central Market,21: Laluan Kasturi,22: Pavilion Kuala Lumpur,23: Suria KLCC,24: Food Court Lot 10,25: Berjaya Times Square,26: Plaza Pudu,27: Kompleks ICC Pudu,28: Fahrenheit 88,29: Dong Teh Mun Food Court,30: Taman Eko Rimba Kuala Lumpur,31: Taman Tasik Titiwangsa,32: The Starhill,33: Queen Victoria's Fountain,34: National Mosque of Malaysia,35: Sri Maha Mariamman Temple,36: Sin Sze Si Ya Temple,37: St Mary's Cathedral,38: Buddha Jayanti Temple,39: Jalan Alor Street Art,40: Jalan Petaling,41: KL Pudu Wai Sek Kai ,42: Kwai Chai Hong,43: Tapak Urban Street Dining Stadium KL,44: Aquaria KLCC,45: Petrosains,46: Planetarium Negara,47: Berjaya Times Square Theme Park,48: Perdana Botanical Gardens,49: Ilham Gallery,50: Batu Caves
1: Dataran Merdeka,0.0,1.5689557650093806,4.535259340864688,22.744012234280437,3.541655365010203,8.361214003976418,17.1673551790827,21.766850005538423,20.274440244173316,71.8567034050737,21.446023102862426,14.49197948848223,30.44732722183564,19.81050247168828,31.59370949657088,34.27930272340892,15.816254264445588,17.490194816108207,91.38489520027198,5.511795223062494,6.515576737473776,27.22381082369855,32.27946892884589,28.057136848667863,26.15756132142813,38.35740668496195,37.8874647493813,28.641539024374744,10.978843237881112,16.346295465701658,46.73603838936843,30.255310346033877,2.7796275503357997,13.01799019501573,8.985824228094785,7.904873730053798,2.072091032267192,46.37109552236695,23.417226127277765,8.54226976439848,37.262360984101235,13.909711759032566,88.9148087069848,31.618955343118223,31.45121244508271,21.347005530650787,27.62244820127016,25.3854982181794,40.098887147578864,118.8814214045747
2: Bangunan Sultan Abdul Samad,1.5689557650093806,0.0,3.3497886857605272,21.75607722063288,3.2632541144091403,8.949025093131935,16.220844367569665,21.769783237612423,19.127409325877522,73.42565917008308,20.29899218456663,13.530054431274126,31.03513831099116,20.398313560843796,32.1815205857264,34.86711381256444,14.669223346149796,19.059150581117585,91.97270628942749,4.364764304766701,5.3685458191779825,27.811621912854065,32.86728001800141,28.367034936253635,25.902096439767817,37.41315111206569,37.63199986772099,28.951437111960516,9.83181231958532,16.934106554857173,48.30499415437781,30.843121435189396,3.3505874677812506,12.0714793835027,7.838793309798991,6.757842811758003,3.641046797276572,45.42683994947068,24.005037216433283,7.395238846102687,36.31810541120496,12.762680840736778,87.767777788689,32.20676643227374,32.03902353423822,20.400494719137754,27.366983319609847,24.438987406666364,40.68669823673439,120.45037716958407
3: Muzium Tekstil Negara,4.535259340864688,3.3497886857605272,0.0,18.406288534872353,1.8488721520162452,9.110330880439992,12.885804626449541,18.434743496492295,17.769083222216956,76.3919627459384,19.007494497678586,10.195014690154002,32.8591146408642,20.208841097183843,34.45938624148717,34.67764134890448,14.103714400054539,21.74439384823032,94.25057194518824,3.647147651053326,4.874844179998382,27.622149449194108,34.3101997477767,28.13666250305267,25.67172400656685,36.90411738603768,37.40162743452002,28.72106467875955,9.535104340712884,19.21197221061793,51.27129773023311,30.65364897152944,1.9362055053883553,8.736439642382578,6.125700058990158,6.264141172578403,6.449506860166902,44.91780622344268,23.815564752773327,7.164866412901716,35.80907168517696,10.929585885459481,86.78360232129893,32.017293968613785,31.849551070578265,17.06545497801763,27.13661088640888,21.103947665546237,42.96456389249514,123.41668074543941
4: Muzium Negara,22.74401223428044,21.756077220632886,18.406288534872356,0.0,20.057625045431994,26.394529673838672,8.724731129690712,10.47860865889027,21.343035920040467,94.60071563935409,22.767651312832818,18.207603947499337,50.07796586873953,37.427692325059155,52.84546572621169,51.896492576779806,24.115235307114357,24.12329906331564,112.63665142991283,20.363175042810003,19.755652598384888,44.84100067706943,51.52905097565202,42.54804582254075,38.800822870752846,44.67340315597299,45.210455130417735,43.132447998247635,21.251881993276044,37.59805169534246,69.48005062364885,47.87250019940476,20.144958398804107,13.075736220518788,18.57469774136712,19.87216227715309,24.38367227315073,51.16332701668563,38.84767903980787,20.65030745402418,43.480170915899414,18.970713456012383,90.54375913645318,49.23614519648911,49.068402298453584,5.2088414755484775,39.701161631122154,10.701833718521707,60.68523144833538,141.62543363885518
5: Kuala Lumpur City Gallery,3.5416553650102025,3.263254114409141,1.8488721520162452,20.05762504543199,0.0,9.068284649603012,14.480967990234253,20.04532110597208,18.854990661839572,75.39835877008389,20.026573520528682,11.805592299633783,32.817068410027225,20.166794866346862,34.417340010650186,34.635595118067506,14.396804682111846,19.89552169621407,94.20852571435128,3.6112905674791773,4.838987096424233,27.58010321835713,34.26815351693972,28.094616272215685,25.629677775729867,37.140732448027734,37.35958120368304,28.679018447922566,9.55939365554737,19.16992597978095,50.277693754378625,30.61160274069246,0.9426015295338698,10.33160300616729,7.309234587045242,6.228284089004254,4.600634708150655,45.15442128543273,23.773518521936346,7.122820182064737,36.04568674716701,12.359757510709036,87.49535912465106,31.975247737776808,31.807504839741288,18.66061834180234,27.094564655571897,22.69911102933095,42.92251766165816,122.42307676958492
6: Muzium Telekom,8.361214003976418,8.949025093131937,9.110330880439992,26.394529673838676,9.068284649603012,0.0,21.996135506889534,27.545074376932288,18.782791459893776,72.98344874472772,19.954374318582886,19.305345570593992,24.16511823615071,11.514844692470362,27.58296486633562,25.98364494419101,11.907940731766873,25.851408820084625,87.37415057003673,7.225553734583469,6.7773595728053255,18.92815304448063,25.6162033430632,19.814441470837814,21.451284806158753,33.23486874816764,32.6978167737229,20.398843646544705,9.543914901874446,12.318536797295106,47.862783729022446,21.95965256681595,9.15561800297512,17.846770522822563,8.26210190154009,6.522367396685586,10.43330503624361,41.9895290696183,15.174530749447735,7.1073414283918135,32.88079453135258,12.474783423025904,87.42315992270525,23.323297563900304,23.155554665864774,26.17578585845762,22.916171686000784,30.21427854598623,34.77238381574653,121.74846206116693
7: Muzium Kesenian Islam Malaysia,17.167355179082698,16.220844367569665,12.885804626449545,8.72473112969071,14.480967990234253,21.99613550688954,0.0,8.39644158207663,21.595623441555535,89.02405858415634,22.83403471701717,13.90757805772718,45.74491926731376,33.0946457236334,47.345190867936715,47.56344597535404,22.174974117339875,22.041131986502002,107.13637657163777,15.49358911416625,16.764461039831637,40.507954075643674,47.19600437422626,40.607784632766275,37.60337374785481,44.739786560157334,45.27683853460208,41.19218680847315,19.31162080350156,32.097776837067485,63.90339356845112,43.539453597979005,14.568301343606365,5.77051107515233,16.634436551592643,17.653671791217203,18.807015217952987,51.229710420869964,36.701369379222875,18.7100462642497,43.54655432008376,19.000845602744814,90.6101425406375,44.90309859506335,44.73535569702783,4.581173954179464,38.699771880034646,8.619666641708069,55.85036851894467,136.04877658365746
8: KL Bird Park,21.76685000553842,21.769783237612415,18.434743496492292,10.478608658890268,20.045321105972075,27.545074376932284,8.396441582076633,0.0,28.86904240630829,90.778077777089,30.107453681769915,8.524536521628438,51.293858137356516,38.643584593676145,51.722312785143835,53.1123848453968,28.730141808569584,14.440231637444743,111.58366868106151,22.081891147545623,23.30958767649068,46.056892945686414,52.744943244268995,46.57140599954498,44.106467503059164,51.53054479455274,52.06759676899748,47.15580817525186,25.86678849473128,37.37331436129267,65.65741276138377,49.088392468021745,20.132654459344185,13.76542905461758,23.189604242822355,24.331050665102154,19.711478727374146,58.50312938562271,42.25030824926562,25.26521395547941,50.43549909369199,25.55601329397453,97.88356150539026,50.452037465106095,50.28429456707057,8.677386481510066,45.25493957126435,4.728886164066674,60.83283651731804,137.0077425038423
9: Bangunan Zhongshan,20.274440244173324,19.127409325877526,17.76908322221695,21.34303592004045,18.854990661839576,18.782791459893787,21.595623441555535,28.86904240630829,0.0,89.94030746661413,7.069554281863053,20.629313599969993,40.73462434031633,27.916149154538385,45.758970289522686,42.326883041391774,10.863419753651769,32.26134849051268,104.27210221809041,15.829822130033799,14.505882567898054,34.755836352376356,42.185709447228824,29.58192620783574,23.905293906725735,28.975306125003222,29.512358099447965,30.918775892564046,9.295597006292208,30.50461263448805,64.8196424509089,36.51257262545887,18.94232401521169,17.44625845748856,12.69519992614657,13.243479115492661,22.346531276440516,35.46522998571586,29.064444303500782,11.732170479774842,27.782073884929645,7.305935180831613,74.84566210548338,39.66653566110107,39.725060770030396,24.930603183661795,24.491590924732918,29.81376648065223,51.34188991991215,137.4187937579607
10: Memorial Tun P. Ramlee,71.85670340507366,73.42565917008304,76.39196274593834,94.6007156393541,75.39835877008387,72.98344874472774,89.02405858415635,90.778077777089,89.94030746661417,0.0,91.11189032530326,86.34868289355589,71.67662033025961,80.11936351736482,63.539819765347374,82.46972717440026,83.710755711619,85.72117599577103,28.66209678921968,76.3932896744973,76.71230011134833,80.68611926267191,72.83305931288626,84.15073868998272,91.11639158179544,97.89579380646802,97.35874183202328,83.19645550810084,80.64471046032197,68.28268469395137,31.050952375325696,83.71761878500723,74.63633095540948,84.87469360008939,79.18254760196933,77.59532909899328,72.52522997591089,110.16481150405293,83.91596521959413,78.20813698683934,103.5825491964911,83.57557898147344,158.5806759294257,79.06077362413991,72.76264405616936,93.20370893572442,90.78902528244434,94.71142270813628,69.99550666213024,71.80776902804875
