poi_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
1,0.000000,1.411320,4.167238,18.082208,3.439917,6.274591,13.368865,11.521374,16.252459,62.688885,19.067916,9.372952,26.083726,13.235748,23.779217,37.432906,12.616803,13.755775,74.145655,4.701851,5.469022,24.058448,26.995098,23.767773,22.191010,30.380039,30.350997,24.312055,9.501504,13.496473,40.865813,26.457608,12.913851,10.661592,7.182862,6.215479,1.626178,37.881549,20.040101,7.312782,31.390394,11.695592,73.581802,25.307172,25.482174,15.000676,23.723904,13.429803,35.257766,117.774891
2,1.411320,0.000000,2.835203,16.987678,2.311657,6.032924,12.298242,10.697727,14.844028,63.951693,17.738593,8.798903,26.532426,13.522108,24.522885,36.140160,11.471970,13.961668,75.194528,3.299425,4.104275,23.883446,27.384364,23.312288,21.408996,29.479818,29.476575,23.939498,8.173336,14.187271,42.108708,26.197975,11.541848,9.406528,5.793339,4.886924,2.784588,36.898376,19.621958,6.077088,30.353460,10.320080,72.259029,25.376708,25.865597,13.880099,22.951732,12.864189,35.613848,119.184018
3,4.167238,2.835203,0.000000,14.301536,1.142089,7.501743,9.665765,8.487764,12.395669,66.783932,15.819801,7.152751,28.559820,15.437444,26.939318,33.305093,10.414715,13.642171,77.894776,1.711612,2.688188,24.911102,29.322424,23.794038,21.174871,28.874997,28.938621,24.584993,6.483322,16.598868,44.936573,27.046217,8.754922,6.590401,3.824337,3.554913,5.115062,36.036056,20.225970,5.045684,29.369964,8.247364,70.252755,26.823849,27.802330,11.175653,22.723888,11.070074,37.472987,121.845669
4,18.082208,16.987678,14.301536,0.000000,14.689723,21.195242,4.720164,7.407006,12.205813,80.517268,17.637846,10.287626,42.166530,29.138153,41.111930,20.433870,18.493024,15.840945,92.180054,14.997186,15.196950,36.421268,42.755402,33.867290,29.238292,34.544517,34.885568,35.074267,15.000762,30.812937,58.794525,37.953773,8.376329,7.993404,14.163215,15.395011,18.297741,39.873575,30.968130,16.238969,33.262104,13.821079,65.788382,39.276751,41.255943,3.131748,30.598129,8.385987,50.636592,133.071723
5,3.439917,2.311657,1.142089,14.689723,0.000000,7.797762,9.992423,8.438924,13.484028,66.126111,16.961790,6.746631,28.665936,15.585625,26.800070,34.013175,11.472433,12.770991,77.498344,2.699766,3.705075,25.459359,29.477234,24.524327,22.095234,29.883181,29.933723,25.264788,7.607351,16.457227,44.305655,27.661237,9.661336,7.232298,4.957940,4.587483,4.137275,37.093325,20.911581,6.051224,30.442960,9.388508,71.388485,27.208433,27.956770,11.590603,23.645065,10.770391,37.673115,120.878063
6,6.274591,6.032924,7.501743,21.195242,7.797762,0.000000,16.790739,15.977028,15.312242,61.851331,16.281030,14.540202,21.126523,8.002335,19.999277,38.694897,8.774573,19.953984,71.609713,6.299930,5.998401,17.856142,21.847230,17.515655,16.381054,24.800633,24.700063,18.037979,7.875015,9.883059,39.984345,20.204857,14.010469,13.202308,7.238914,5.895116,7.763916,32.514307,13.777103,5.567229,26.272205,10.310397,70.031831,19.415466,20.328681,18.088189,17.876672,18.536146,29.974961,119.350544
7,13.368865,12.298242,9.665765,4.720164,9.992423,16.790739,0.000000,3.317066,10.986470,75.822961,16.393488,6.040274,37.886304,24.785437,36.575896,24.802314,15.380653,12.914600,87.490745,10.509649,10.834411,32.829014,38.543434,30.694116,26.590581,32.757815,33.016945,31.788034,11.416760,26.247298,54.084336,34.566278,5.894606,3.857915,10.052117,11.158946,13.583298,38.767589,27.549594,12.197029,32.020278,10.853540,67.642872,35.397862,37.032657,1.780089,28.039708,5.786308,46.543150,128.900842
8,11.521374,10.697727,8.487764,7.407006,8.438924,15.977028,3.317066,0.000000,13.473094,73.322672,18.659315,2.881327,37.043109,23.924451,35.220306,27.813896,16.367986,9.712470,85.543295,9.771947,10.376504,32.966349,37.810046,31.293378,27.711948,34.438177,34.640593,32.263446,12.121693,24.884299,51.689425,34.910898,8.180591,5.053314,10.132785,10.933639,11.391956,40.816904,27.938466,12.235373,34.041350,12.222849,70.794960,35.165146,36.290007,4.987556,29.213309,3.259231,45.951747,125.750883
9,16.252459,14.844028,12.395669,12.205813,13.484028,15.312242,10.986470,13.473094,0.000000,77.156769,5.493010,15.021261,33.814745,21.874980,34.333922,24.053155,8.335317,22.875075,86.255548,11.554178,10.889798,26.007391,34.079144,22.702937,17.485629,22.338739,22.682100,24.072509,7.468488,24.885093,55.295630,27.068762,5.294330,8.631863,9.129525,10.326995,17.464055,27.890847,20.362253,9.907217,21.191885,5.007117,58.203244,29.528682,32.677456,10.568743,18.735173,16.569796,41.307596,133.929275
10,62.688885,63.951693,66.783932,80.517268,66.126111,61.851331,75.822961,73.322672,77.156769,0.000000,77.219845,70.556323,48.408294,56.040457,44.610437,100.075775,69.740700,68.891831,21.717191,66.714860,66.996518,59.798839,49.204591,64.534107,69.479658,75.928393,75.344011,63.224827,69.723434,52.452113,21.889937,61.547475,75.283710,73.347835,68.639880,67.284544,62.260978,82.717012,63.226879,67.352983,79.677978,72.160732,125.035004,55.488153,49.810508,77.541659,69.974689,73.884557,48.093564,65.336873
11,19.067916,17.738593,15.819801,17.637846,16.961790,16.281030,16.393488,18.659315,5.493010,77.219845,0.000000,19.871399,31.815486,21.204570,33.305423,26.569202,7.611995,27.738968,84.974738,14.537849,13.643105,22.715006,31.853943,18.809661,13.064274,16.958574,17.338487,20.299546,9.567554,24.815367,55.529924,23.319511,10.552655,13.653108,12.053978,12.855637,20.514016,22.406355,17.143633,11.848077,15.699095,7.580037,54.520608,26.665656,30.561293,16.056066,14.108094,21.839740,38.474465,135.630107
12,9.372952,8.798903,7.152751,10.287626,6.746631,14.540202,6.040274,2.881327,15.021261,70.556323,19.871399,0.000000,35.331314,22.298943,33.146479,30.692336,16.468006,7.876385,83.033440,8.721184,9.527277,32.059096,36.177275,30.793821,27.711791,34.898878,35.045434,31.648426,12.166151,22.868041,48.974650,34.163735,9.818975,6.402971,9.782204,10.247999,8.970277,41.608318,27.291146,11.694044,34.840347,12.832879,72.904311,33.938722,34.657785,7.785507,29.244343,4.068804,44.394244,122.894813
13,26.083726,26.532426,28.559820,42.166530,28.665936,21.126523,37.886304,37.043109,33.814745,48.408294,31.815486,35.331314,0.000000,13.129335,6.207473,57.830719,25.482481,39.143980,53.361239,27.425465,27.052292,11.395512,1.472735,16.182084,21.543574,27.520099,26.937608,14.827583,27.573053,12.977040,28.663117,13.240545,34.390428,34.202317,28.005309,26.780495,26.937080,34.462833,15.454180,25.962206,31.302801,29.490114,76.710989,7.124976,1.408877,39.103219,21.813888,39.395797,9.366249,111.449455
14,13.235748,13.522108,15.437444,29.138153,15.585625,8.002335,24.785437,23.924451,21.874980,56.040457,21.204570,22.298943,13.129335,0.000000,12.470205,45.833752,13.873851,26.784025,64.385393,14.302150,13.963117,12.111450,13.893739,13.811333,15.633971,23.973419,23.653369,13.641507,14.958871,4.188600,34.453684,14.853433,21.619802,21.149907,15.024516,13.749128,14.304541,31.874008,10.390804,13.072627,26.583895,17.134140,72.123261,12.306581,12.373134,26.048550,16.770645,26.348636,22.095497,115.762356
15,23.779217,24.522885,26.939318,41.111930,26.800070,19.999277,36.575896,35.220306,34.333922,44.610437,33.305423,33.146479,6.207473,12.470205,0.000000,58.302999,26.228725,35.845606,51.921665,26.114781,25.963565,16.032874,7.666541,20.398635,24.919217,31.917151,31.399332,19.290578,27.393199,10.345484,23.826037,18.366336,33.946615,33.142874,27.225791,25.892842,24.300584,39.281914,18.669166,25.393512,35.410863,29.601101,81.219456,12.434445,7.110445,37.985218,25.513970,37.188637,14.276159,106.482717
16,37.432906,36.140160,33.305093,20.433870,34.013175,38.694897,24.802314,27.813896,24.053155,100.075775,26.569202,30.692336,57.830719,45.833752,58.302999,0.000000,32.359815,35.733526,110.194476,33.380891,33.161892,49.281499,58.038399,45.300484,39.361379,40.524134,41.127282,46.819231,30.962145,48.546383,78.207872,49.828880,24.841799,26.782406,31.592436,32.963502,38.008374,42.274100,43.688314,33.132495,37.353993,28.703115,53.055120,53.157827,56.664422,23.022762,40.165136,28.557650,64.982388,153.484553
17,12.616803,11.471970,10.414715,18.493024,11.472433,8.774573,15.380653,16.367986,8.335317,69.740700,7.611995,16.468006,25.482481,13.873851,26.228725,32.359815,0.000000,23.844046,78.115974,8.775386,7.769692,18.071482,25.745858,15.393072,11.343988,18.528071,18.632148,16.581259,4.305110,17.291079,47.995316,19.471339,10.116752,11.640057,6.802697,6.886100,14.204012,25.622616,12.518480,5.461664,18.976014,4.671956,61.394123,21.335486,24.342152,15.890357,12.849330,19.583393,33.056293,128.066282
